Country Code,Economy,Income Group,Year,Latitude (generated),Longitude (generated)
LUX,Luxembourg,High income (H),Fiscal Year 1989,49.671,6.113
KWT,Kuwait,High income (H),Fiscal Year 1989,29.3169,47.4272
JPN,Japan,High income (H),Fiscal Year 1989,35.962,137.855
ITA,Italy,High income (H),Fiscal Year 1989,44.3713,11.1084
ISR,Israel,High income (H),Fiscal Year 1989,30.992,34.834
ISL,Iceland,High income (H),Fiscal Year 1989,64.826,-18.417
IRL,Ireland,High income (H),Fiscal Year 1989,53.214,-7.588
IMN,Isle of Man,High income (H),Fiscal Year 1989,54.2362,-4.5149
HKG,"Hong Kong SAR, China",High income (H),Fiscal Year 1989,22.4114,114.0599
GUM,Guam,High income (H),Fiscal Year 1989,13.45,144.7579
GRL,Greenland,High income (H),Fiscal Year 1989,71,-39
GBR,United Kingdom,High income (H),Fiscal Year 1989,52.289,-1.259
FRO,Faeroe Islands,High income (H),Fiscal Year 1989,62.1252,-7.0174
FRA,France,High income (H),Fiscal Year 1989,46.656,2.543
FIN,Finland,High income (H),Fiscal Year 1989,62.716,26.192
ESP,Spain,High income (H),Fiscal Year 1989,40.617,-3.388
DNK,Denmark,High income (H),Fiscal Year 1989,56.113,9.096
DEU,Germany,High income (H),Fiscal Year 1989,51.3819,9.9877
CHI,Channel Islands,High income (H),Fiscal Year 1989,,
CHE,Switzerland,High income (H),Fiscal Year 1989,46.7794,8.0329
CAN,Canada,High income (H),Fiscal Year 1989,59.2067,-111.1937
BRN,Brunei Darussalam,High income (H),Fiscal Year 1989,4.452,114.557
BMU,Bermuda,High income (H),Fiscal Year 1989,32.3019,-64.7737
BHS,"Bahamas, The",High income (H),Fiscal Year 1989,24.7032,-78.0455
BHR,Bahrain,High income (H),Fiscal Year 1989,26.025,50.5534
BEL,Belgium,High income (H),Fiscal Year 1989,50.6745,4.4588
AUT,Austria,High income (H),Fiscal Year 1989,47.65,14.705
AUS,Australia,High income (H),Fiscal Year 1989,-24.578,133.582
ASM,American Samoa,High income (H),Fiscal Year 1989,-14.3018,-170.7511
ARE,United Arab Emirates,High income (H),Fiscal Year 1989,23.9299,53.9031
ABW,Aruba,High income (H),Fiscal Year 1989,12.5176,-69.9818
ZMB,Zambia,Low income (L),Fiscal Year 1989,-15.13,25.268
VNM,Vietnam,Low income (L),Fiscal Year 1989,21.75,105.373
UGA,Uganda,Low income (L),Fiscal Year 1989,1.9392,32.7415
TZA,Tanzania,Low income (L),Fiscal Year 1989,-5.651,34.146
TGO,Togo,Low income (L),Fiscal Year 1989,7.7,1.106
TCD,Chad,Low income (L),Fiscal Year 1989,15.981,18.781
STP,São Tomé and Principe,Low income (L),Fiscal Year 1989,0.216,6.595
SOM,Somalia,Low income (L),Fiscal Year 1989,2.875,43.446
SLE,Sierra Leone,Low income (L),Fiscal Year 1989,8.677,-11.779
SLB,Solomon Islands,Low income (L),Fiscal Year 1989,-9.5987,160.1487
SDN,Sudan,Low income (L),Fiscal Year 1989,15.739,29.533
RWA,Rwanda,Low income (L),Fiscal Year 1989,-1.887,29.904
PAK,Pakistan,Low income (L),Fiscal Year 1989,28.1854,66.6429
NPL,Nepal,Low income (L),Fiscal Year 1989,28.2114,83.5608
NGA,Nigeria,Low income (L),Fiscal Year 1989,9.3417,7.678
NER,Niger,Low income (L),Fiscal Year 1989,16.996,9.915
MWI,Malawi,Low income (L),Fiscal Year 1989,-13.2731,33.7428
MRT,Mauritania,Low income (L),Fiscal Year 1989,19.413,-10.6528
MOZ,Mozambique,Low income (L),Fiscal Year 1989,-13.852,38.042
MMR,Myanmar,Low income (L),Fiscal Year 1989,21.841,96.05
MLI,Mali,Low income (L),Fiscal Year 1989,18.211,-2.209
MDV,Maldives,Low income (L),Fiscal Year 1989,4.221,73.463
MDG,Madagascar,Low income (L),Fiscal Year 1989,-19.615,46.645
LSO,Lesotho,Low income (L),Fiscal Year 1989,-29.446,28.371
LKA,Sri Lanka,Low income (L),Fiscal Year 1989,7.3,80.727
LBR,Liberia,Low income (L),Fiscal Year 1989,6.51,-9.33
LAO,Lao PDR,Low income (L),Fiscal Year 1989,19.595,102.538
KHM,Cambodia,Low income (L),Fiscal Year 1989,12.69,104.444
KEN,Kenya,Low income (L),Fiscal Year 1989,0.806,38.166
IND,India,Low income (L),Fiscal Year 1989,22.741,78.236
IDN,Indonesia,Low income (L),Fiscal Year 1989,-0.739,114.045
HTI,Haiti,Low income (L),Fiscal Year 1989,19.3175,-72.4205
GUY,Guyana,Low income (L),Fiscal Year 1989,5.17,-58.939
GNQ,Equatorial Guinea,Low income (L),Fiscal Year 1989,1.6342,10.4695
GNB,Guinea-Bissau,Low income (L),Fiscal Year 1989,12.191,-14.475
GMB,"Gambia, The",Low income (L),Fiscal Year 1989,13.499,-14.641
GIN,Guinea,Low income (L),Fiscal Year 1989,10.599,-10.907
GHA,Ghana,Low income (L),Fiscal Year 1989,7.258,-1.062
ETH,Ethiopia,Low income (L),Fiscal Year 1989,8.435,38.786
COM,Comoros,Low income (L),Fiscal Year 1989,-11.6527,43.3307
COD,"Congo, Dem. Rep.",Low income (L),Fiscal Year 1989,-1.418,23.607
CHN,China,Low income (L),Fiscal Year 1989,35.1753,99.3877
CAF,Central African Republic,Low income (L),Fiscal Year 1989,7.043,21.424
BTN,Bhutan,Low income (L),Fiscal Year 1989,27.5342,90.3002
BGD,Bangladesh,Low income (L),Fiscal Year 1989,24.598,90.1963
BFA,Burkina Faso,Low income (L),Fiscal Year 1989,12.673,-1.226
BEN,Benin,Low income (L),Fiscal Year 1989,10.478,2.274
BDI,Burundi,Low income (L),Fiscal Year 1989,-3.333,29.749
AFG,Afghanistan,Low income (L),Fiscal Year 1989,34.023,65.5267
XKX,Kosovo,NA,Fiscal Year 1990,42.546,20.921
VGB,British Virgin Islands,NA,Fiscal Year 1990,18.4204,-64.64
UZB,Uzbekistan,NA,Fiscal Year 1990,41.757,63.958
UKR,Ukraine,NA,Fiscal Year 1990,49.364,32.132
TUV,Tuvalu,NA,Fiscal Year 1990,-7.4786,178.6758
TLS,Timor-Leste,NA,Fiscal Year 1990,-8.856,125.556
TKM,Turkmenistan,NA,Fiscal Year 1990,39.584,59.597
TJK,Tajikistan,NA,Fiscal Year 1990,38.367,72.597
TCA,Turks and Caicos Islands,NA,Fiscal Year 1990,21.7779,-71.7592
SXM,Sint Maarten (Dutch part),NA,Fiscal Year 1990,18.034,-63.0544
SVN,Slovenia,NA,Fiscal Year 1990,46.037,14.534
SVK,Slovak Republic,NA,Fiscal Year 1990,48.8595,19.4434
SSD,South Sudan,NA,Fiscal Year 1990,7.1,30.48
SRB,Serbia,NA,Fiscal Year 1990,44.021,20.699
SMR,San Marino,NA,Fiscal Year 1990,43.942,12.4611
RUS,Russian Federation,NA,Fiscal Year 1990,64.736,104.062
PYF,French Polynesia,NA,Fiscal Year 1990,-17.529,-149.53
PSE,West Bank and Gaza,NA,Fiscal Year 1990,32.097,35.26
PRK,"Korea, Dem. Rep.",NA,Fiscal Year 1990,39.767,126.389
PLW,Palau,NA,Fiscal Year 1990,7.5288,134.5573
NRU,Nauru,NA,Fiscal Year 1990,-0.5287,166.9315
NAM,Namibia,NA,Fiscal Year 1990,-21.276,17.219
MNP,Northern Mariana Islands,NA,Fiscal Year 1990,15.1905,145.7471
MNG,Mongolia,NA,Fiscal Year 1990,46.516,102.564
MNE,Montenegro,NA,Fiscal Year 1990,42.857,19.096
MKD,North Macedonia,NA,Fiscal Year 1990,41.636,21.676
MHL,Marshall Islands,NA,Fiscal Year 1990,5.961,169.651
MDA,Moldova,NA,Fiscal Year 1990,47.524,28.444
MCO,Monaco,NA,Fiscal Year 1990,43.7384,7.4243
MAF,St. Martin (French part),NA,Fiscal Year 1990,18.0848,-63.0507
LVA,Latvia,NA,Fiscal Year 1990,57.017,25.0173
LTU,Lithuania,NA,Fiscal Year 1990,55.342,24.23
LIE,Liechtenstein,NA,Fiscal Year 1990,47.1593,9.547
KGZ,Kyrgyz Republic,NA,Fiscal Year 1990,41.741,75.043
KAZ,Kazakhstan,NA,Fiscal Year 1990,48.866,69.772
HRV,Croatia,NA,Fiscal Year 1990,45.754,16.385
GEO,Georgia,NA,Fiscal Year 1990,42.05,43.576
FSM,"Micronesia, Fed. Sts.",NA,Fiscal Year 1990,7.531,150.457
EST,Estonia,NA,Fiscal Year 1990,58.777,25.977
ERI,Eritrea,NA,Fiscal Year 1990,15.982,38.02
DJI,Djibouti,NA,Fiscal Year 1990,11.41,42.165
CZE,Czech Republic,NA,Fiscal Year 1990,49.848,15.2812
CYM,Cayman Islands,NA,Fiscal Year 1990,19.3299,-81.1715
CUW,Curaçao,NA,Fiscal Year 1990,12.2129,-69.0407
CUB,Cuba,NA,Fiscal Year 1990,20.571,-76.456
BRN,Brunei Darussalam,NA,Fiscal Year 1990,4.452,114.557
BLR,Belarus,NA,Fiscal Year 1990,53.3292,27.9492
BIH,Bosnia and Herzegovina,NA,Fiscal Year 1990,44.342,17.804
BGR,Bulgaria,NA,Fiscal Year 1990,42.625,24.521
AZE,Azerbaijan,NA,Fiscal Year 1990,40.46,47.883
ARM,Armenia,NA,Fiscal Year 1990,40.56,44.449
AND,Andorra,NA,Fiscal Year 1990,42.5425,1.5893
ALB,Albania,NA,Fiscal Year 1990,40.654,20.076
ZAF,South Africa,Upper middle income (UM),Fiscal Year 1990,-31.7,23.441
VEN,"Venezuela, RB",Upper middle income (UM),Fiscal Year 1990,6.983,-64.588
URY,Uruguay,Upper middle income (UM),Fiscal Year 1990,-32.948,-56.249
TTO,Trinidad and Tobago,Upper middle income (UM),Fiscal Year 1990,10.4435,-61.2604
SYC,Seychelles,Upper middle income (UM),Fiscal Year 1990,-4.6841,55.4924
SUR,Suriname,Upper middle income (UM),Fiscal Year 1990,4.248,-55.848
ROU,Romania,Upper middle income (UM),Fiscal Year 1990,45.933,25.119
PRT,Portugal,Upper middle income (UM),Fiscal Year 1990,40.957,-7.9373
PRI,Puerto Rico,Upper middle income (UM),Fiscal Year 1990,18.242,-66.643
OMN,Oman,Upper middle income (UM),Fiscal Year 1990,19.85,56.25
NCL,New Caledonia,Upper middle income (UM),Fiscal Year 1990,-21.02,165.062
MLT,Malta,Upper middle income (UM),Fiscal Year 1990,35.9024,14.4137
MAC,"Macao SAR, China",Upper middle income (UM),Fiscal Year 1990,22.1404,113.5643
LBY,Libya,Upper middle income (UM),Fiscal Year 1990,27.24,17.571
KOR,"Korea, Rep.",Upper middle income (UM),Fiscal Year 1990,36.338,128.16
KNA,St. Kitts and Nevis,Upper middle income (UM),Fiscal Year 1990,17.147,-62.58
IRQ,Iraq,Upper middle income (UM),Fiscal Year 1990,33.545,43.278
IRN,"Iran, Islamic Rep.",Upper middle income (UM),Fiscal Year 1990,33.408,54.0418
HUN,Hungary,Upper middle income (UM),Fiscal Year 1990,47.174,19.618
GRC,Greece,Upper middle income (UM),Fiscal Year 1990,39.787,21.617
GIB,Gibraltar,Upper middle income (UM),Fiscal Year 1990,36.134,-5.3482
GAB,Gabon,Upper middle income (UM),Fiscal Year 1990,-0.406,11.914
DZA,Algeria,Upper middle income (UM),Fiscal Year 1990,28.6045,2.64
BRB,Barbados,Upper middle income (UM),Fiscal Year 1990,13.1898,-59.559
ATG,Antigua and Barbuda,Upper middle income (UM),Fiscal Year 1990,17.625,-61.786
ARG,Argentina,Upper middle income (UM),Fiscal Year 1990,-33.166,-64.31
ZWE,Zimbabwe,Lower middle income (LM),Fiscal Year 1990,-19.098,30.047
WSM,Samoa,Lower middle income (LM),Fiscal Year 1990,-13.6221,-172.439
VUT,Vanuatu,Lower middle income (LM),Fiscal Year 1990,-15.339,166.89
VCT,St. Vincent and the Grenadines,Lower middle income (LM),Fiscal Year 1990,13.2528,-61.1949
TUR,Turkey,Lower middle income (LM),Fiscal Year 1990,39.144,34.188
TUN,Tunisia,Lower middle income (LM),Fiscal Year 1990,35.594,9.421
TON,Tonga,Lower middle income (LM),Fiscal Year 1990,-21.167,-175.19
THA,Thailand,Lower middle income (LM),Fiscal Year 1990,15.688,100.845
SYR,Syrian Arab Republic,Lower middle income (LM),Fiscal Year 1990,35.303,38.322
SWZ,Eswatini,Lower middle income (LM),Fiscal Year 1990,-26.5203,31.4607
SLV,El Salvador,Lower middle income (LM),Fiscal Year 1990,13.848,-89.229
SLB,Solomon Islands,Lower middle income (LM),Fiscal Year 1990,-9.5987,160.1487
SEN,Senegal,Lower middle income (LM),Fiscal Year 1990,15.044,-15.081
PRY,Paraguay,Lower middle income (LM),Fiscal Year 1990,-23.266,-58.409
POL,Poland,Lower middle income (LM),Fiscal Year 1990,52.442,19.72
PNG,Papua New Guinea,Lower middle income (LM),Fiscal Year 1990,-5.636,142.798
PHL,Philippines,Lower middle income (LM),Fiscal Year 1990,17.181,121.256
PER,Peru,Lower middle income (LM),Fiscal Year 1990,-12.664,-72.98
PAN,Panama,Lower middle income (LM),Fiscal Year 1990,8.348,-81.005
NIC,Nicaragua,Lower middle income (LM),Fiscal Year 1990,12.692,-85.03
MYS,Malaysia,Lower middle income (LM),Fiscal Year 1990,4.416,102.099
MUS,Mauritius,Lower middle income (LM),Fiscal Year 1990,-20.2529,57.5902
MEX,Mexico,Lower middle income (LM),Fiscal Year 1990,22.925,-101.68
MAR,Morocco,Lower middle income (LM),Fiscal Year 1990,31.129,-7.355
LCA,St. Lucia,Lower middle income (LM),Fiscal Year 1990,13.909,-60.9776
LBN,Lebanon,Lower middle income (LM),Fiscal Year 1990,34.161,36.021
KIR,Kiribati,Lower middle income (LM),Fiscal Year 1990,2.048,-158.59
JOR,Jordan,Lower middle income (LM),Fiscal Year 1990,30.681,36.279
JAM,Jamaica,Lower middle income (LM),Fiscal Year 1990,18.163,-77.477
HND,Honduras,Lower middle income (LM),Fiscal Year 1990,14.881,-87.123
GTM,Guatemala,Lower middle income (LM),Fiscal Year 1990,15.124,-90.711
GRD,Grenada,Lower middle income (LM),Fiscal Year 1990,12.111,-61.6867
FJI,Fiji,Lower middle income (LM),Fiscal Year 1990,-17.7941,177.9783
EGY,"Egypt, Arab Rep.",Lower middle income (LM),Fiscal Year 1990,26.16,28.742
ECU,Ecuador,Lower middle income (LM),Fiscal Year 1990,-1.151,-78.308
DOM,Dominican Republic,Lower middle income (LM),Fiscal Year 1990,19.01,-70.1685
DMA,Dominica,Lower middle income (LM),Fiscal Year 1990,15.4238,-61.3411
CRI,Costa Rica,Lower middle income (LM),Fiscal Year 1990,10.126,-84.075
CPV,Cabo Verde,Lower middle income (LM),Fiscal Year 1990,15.416,-23.36
COL,Colombia,Lower middle income (LM),Fiscal Year 1990,3.794,-73.606
COG,"Congo, Rep.",Lower middle income (LM),Fiscal Year 1990,0.509,16.08
CMR,Cameroon,Lower middle income (LM),Fiscal Year 1990,4.4,12.131
CIV,Côte d'Ivoire,Lower middle income (LM),Fiscal Year 1990,7.497,-5.336
CHL,Chile,Lower middle income (LM),Fiscal Year 1990,-23.176,-69.201
BWA,Botswana,Lower middle income (LM),Fiscal Year 1990,-22.126,23.662
BRA,Brazil,Lower middle income (LM),Fiscal Year 1990,-11.694,-48.978
BOL,Bolivia,Lower middle income (LM),Fiscal Year 1990,-16.71,-65.183
BLZ,Belize,Lower middle income (LM),Fiscal Year 1990,17.108,-88.744
AGO,Angola,Lower middle income (LM),Fiscal Year 1990,-12.836,17.808
VIR,Virgin Islands (U.S.),High income (H),Fiscal Year 1990,17.7289,-64.7592
USA,United States,High income (H),Fiscal Year 1990,40.0792,-98.8164
TWN,"Taiwan, China",High income (H),Fiscal Year 1990,23.6091,120.8353
SWE,Sweden,High income (H),Fiscal Year 1990,66.2188,19
SGP,Singapore,High income (H),Fiscal Year 1990,1.3389,103.8297
SAU,Saudi Arabia,High income (H),Fiscal Year 1990,24.191,44.32
QAT,Qatar,High income (H),Fiscal Year 1990,25.3174,51.1522
NZL,New Zealand,High income (H),Fiscal Year 1990,-42.558,172.377
NOR,Norway,High income (H),Fiscal Year 1990,61.3701,9.3031
NLD,Netherlands,High income (H),Fiscal Year 1990,52.1704,5.0102
LUX,Luxembourg,High income (H),Fiscal Year 1990,49.671,6.113
KWT,Kuwait,High income (H),Fiscal Year 1990,29.3169,47.4272
JPN,Japan,High income (H),Fiscal Year 1990,35.962,137.855
ITA,Italy,High income (H),Fiscal Year 1990,44.3713,11.1084
ISR,Israel,High income (H),Fiscal Year 1990,30.992,34.834
ISL,Iceland,High income (H),Fiscal Year 1990,64.826,-18.417
IRL,Ireland,High income (H),Fiscal Year 1990,53.214,-7.588
IMN,Isle of Man,High income (H),Fiscal Year 1990,54.2362,-4.5149
HKG,"Hong Kong SAR, China",High income (H),Fiscal Year 1990,22.4114,114.0599
GUM,Guam,High income (H),Fiscal Year 1990,13.45,144.7579
GRL,Greenland,High income (H),Fiscal Year 1990,71,-39
GBR,United Kingdom,High income (H),Fiscal Year 1990,52.289,-1.259
FRO,Faeroe Islands,High income (H),Fiscal Year 1990,62.1252,-7.0174
FRA,France,High income (H),Fiscal Year 1990,46.656,2.543
FIN,Finland,High income (H),Fiscal Year 1990,62.716,26.192
ESP,Spain,High income (H),Fiscal Year 1990,40.617,-3.388
DNK,Denmark,High income (H),Fiscal Year 1990,56.113,9.096
DEU,Germany,High income (H),Fiscal Year 1990,51.3819,9.9877
CYP,Cyprus,High income (H),Fiscal Year 1990,34.894,32.928
CHI,Channel Islands,High income (H),Fiscal Year 1990,,
